Exchange,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
Nasdaq,FAMI,FARMMI: INC.,4.59,53611200,n/a,2018,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/fami
Nasdaq,FARO,FARO Technologies: Inc.,48.48,836423161.4,n/a,1997,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/faro
Nasdaq,FAST,Fastenal Company,59.26,17010975183,n/a,1987,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/fast
Nasdaq,FAT,FAT Brands Inc.,5.48,62157075.36,n/a,2017,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/fat
Nasdaq,FATE,Fate Therapeutics: Inc.,14.1,909715263.3,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/fate
Nasdaq,FBSS,Fauquier Bankshares: Inc.,21.19,79967584.84,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fbss
Nasdaq,FSAC,Federal Street Acquisition Corp.,10.02,150945498.4,n/a,2017,Finance,Business Services,https://www.nasdaq.com/symbol/fsac
Nasdaq,FSACU,Federal Street Acquisition Corp.,10.82,0,n/a,2017,Finance,Business Services,https://www.nasdaq.com/symbol/fsacu
Nasdaq,FSACW,Federal Street Acquisition Corp.,0.9,0,n/a,2017,Finance,Business Services,https://www.nasdaq.com/symbol/fsacw
Nasdaq,FNHC,FedNat Holding Company,22.07,280994004.1,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/fnhc
Nasdaq,FENC,Fennec Pharmaceuticals Inc.,6.77,129335190.3,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/fenc
Nasdaq,GSM,Ferroglobe PLC,2.27,390387179.4,n/a,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/gsm
